Élément statistique;1er niveau de détail;Temps;Unité de mesure;Valeur numérique;Note
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);oct-17;M$ enchaînés de 2012;20417.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);nov-17;M$ enchaînés de 2012;20142.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);déc-17;M$ enchaînés de 2012;20333;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);janv-18;M$ enchaînés de 2012;20387.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);févr-18;M$ enchaînés de 2012;20326.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);mars-18;M$ enchaînés de 2012;20159.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);avr-18;M$ enchaînés de 2012;20056.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);mai-18;M$ enchaînés de 2012;20014.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);juin-18;M$ enchaînés de 2012;20897.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);juil-18;M$ enchaînés de 2012;21069.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);août-18;M$ enchaînés de 2012;20952.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);sept-18;M$ enchaînés de 2012;20536.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);oct-18;M$ enchaînés de 2012;20397.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);nov-18;M$ enchaînés de 2012;20568.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);déc-18;M$ enchaînés de 2012;20527.2;
